a,add,implemented,
ad,"add normalized (long)","won't do","hfp instruction"
adr,"add normalized (long)","won't do","hfp instruction"
ae,"add normalized (short)","won't do","hfp instruction"
aer,"add normalized (short)","won't do","hfp instruction"
ah,"add halfword",implemented,
al,"add logical",implemented,
alr,"add logical",implemented,
ap,"add decimal","not implemented",
ar,add,implemented,
au,"add unnormalized (short)","won't do","hfp instruction"
aur,"add unnormalized (short)","won't do","hfp instruction"
aw,"add unnormalized (long)","won't do","hfp instruction"
awr,"add unnormalized (long)","won't do","hfp instruction"
axr,"add normalized","won't do","hfp instruction"
bakr,"branch and stack","not implemented",
bal,"branch and link","not implemented",
balr,"branch and link","not implemented",
bas,"branch and save",implemented,
basr,"branch and save",implemented,
bassm,"branch and save and set mode","not implemented",
bc,"branch on condition",implemented,
bcr,"branch on condition",implemented,
bct,"branch on count",implemented,
bctr,"branch on count",implemented,
bsg,"branch in subspace group","not implemented",
bsm,"branch and set mode","not implemented",
bxh,"branch on index high",implemented,
bxle,"branch on index low or equal",implemented,
c,compare,implemented,
cd,"compare (long)","won't do","hfp instruction"
cdr,"compare (long)","won't do","hfp instruction"
cds,"compare double and swap",implemented,
ce,"compare (short)","won't do","hfp instruction"
cer,"compare (short)","won't do","hfp instruction"
cfc,"compare and form codeword","not implemented",
ch,"compare halfword",implemented,
cl,"compare logical",implemented,
clc,"compare logical",implemented,
clcl,"compare logical long",implemented,
cli,"compare logical",implemented,
clm,"compare logical characters under mask",implemented,
clr,"compare logical",implemented,
clst,"compare logical string",implemented,
cp,"compare decimal","not implemented",
cpya,"copy access",implemented,
cr,compare,implemented,
cs,"compare and swap",implemented,
csch,"clear subchannel",N/A,"privileged instruction"
cuse,"compare until substring equal","not implemented",
csp,"compare and swap and purge",N/A,"privileged instruction"
cvb,"convert to binary",implemented,
cvd,"convert to decimal",implemented,
cxr,"compare extended hfp","won't do","hfp instruction"
d,divide,implemented,
dd,"divide (long)","won't do","hfp instruction"
ddr,"divide (long)","won't do","hfp instruction"
de,"divide (short)","won't do","hfp instruction"
der,"divide (short)","won't do","hfp instruction"
diag,diagnose,N/A,"privileged instruction"
dp,"divide decimal","not implemented",
dr,divide,implemented,
dxr,"divide (ext.)","won't do","hfp instruction"
ear,"extract access",implemented,
ed,edit,"not implemented",
edmk,"edit and mark","not implemented",
epar,"extract primary ASN",N/A,"privileged instruction"
epair,"extract primary ASN and instance",N/A,"privileged instruction"
ereg,"extract stacked registers","not implemented",
esar,"extract secondary ASN",N/A,"privileged instruction",
esair,"extract secondary ASN and instance",N/A,"privileged instruction",
esta,"extract stacked state","not implemented",
ex,execute,implemented,
hdr,"halve (long)","won't do","hfp instruction"
her,"halve (short)","won't do","hfp instruction"
hsch,"halt subchannel",N/A,"privileged instruction"
iac,"insert address space control",N/A,"privileged instruction"
ic,"insert character",implemented,
icm,"insert characters under mask",implemented,
ipk,"insert PSW key",N/A,"privileged instruction"
ipm,"insert program mask",implemented,
ipte,"invalidate page table entry",N/A,"privileged instruction"
iske,"insert storage key extended",N/A,"privileged instruction"
ivsk,"insert virtual storage key",N/A,"privileged instruction"
l,load,implemented,
la,"load address",implemented,
lae,"load address extended",implemented,
lam,"load access multiple",implemented,
lasp,"load address space parameters",N/A,"privileged instruction"
lcdr,"load complement (long)","won't do","hfp instruction"
lcer,"load complement (short)","won't do","hfp instruction"
lcr,"load complement",implemented,
lctl,"load control",N/A,"privileged instruction"
ld,"load (long)",implemented,
ldr,"load (long)",implemented,
le,"load (short)",implemented,
ler,"load (short)",implemented,
lh,"load halfword",implemented,
lm,"load multiple",implemented,
lndr,"load negative (long)","won't do","hfp instruction"
lner,"load negative (short)","won't do","hfp instruction"
lnr,"load negative",implemented,
lpdr,"load positive (long)","won't do","hfp instruction"
lper,"load positive (short)","won't do","hfp instruction"
lpr,"load positive",implemented,
lpsw,"load PSW",N/A,"privileged instruction"
